review_id,claim_id,review_round,review_datetime,reviewer_id,review_type,auto_risk_score,triage_result,reviewer_notes,perito_id,perito_physical_inspection,damage_consistency_rating,documentation_completeness_pct,recommended_action,days_since_claim
REV_01612_1,CLM_01612,1,2025-05-11 06:18:00,R-7520,Initial Triage,19.7,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_01613_1,CLM_01613,1,2025-05-28 13:21:00,R-3691,Initial Triage,46.8,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_01613_2,CLM_01613,2,2025-06-11 22:21:00,R-3691,Expert Assessment,,,No anomalies found during review.,P-8545,No,4.4,86.2,Approve,15
REV_01614_1,CLM_01614,1,2024-11-07 05:26:00,R-9758,Initial Triage,37.8,Yellow - Standard Review,"Damage assessment pending, photos unclear.",,,,,Standard Review,2
REV_01614_2,CLM_01614,2,2024-11-13 22:26:00,R-9758,Expert Assessment,,,Insured value significantly exceeds market value of vehicle.,P-9909,No,1.5,43.6,Recommend Denial,8
REV_01614_3,CLM_01614,3,2024-11-30 15:26:00,SIU-537,SIU Investigation,,,Full investigation completed. Findings documented in case file.,P-9909,Yes,,,Claim Withdrawn by Claimant,24
REV_01616_1,CLM_01616,1,2024-02-18 05:03:00,R-3691,Initial Triage,55.5,Red - Full Investigation,"Routine processing, no flags raised.",,,,,Full Investigation,5
REV_01616_2,CLM_01616,2,2024-02-26 21:03:00,R-3691,Expert Assessment,,,Physical inspection consistent with reported damage.,P-4626,Yes,4.0,99.9,Approve,13
REV_01618_1,CLM_01618,1,2024-04-27 15:03:00,R-1307,Initial Triage,29.3,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_01619_1,CLM_01619,1,2022-11-19 00:12:00,R-9758,Initial Triage,11.5,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_01620_1,CLM_01620,1,2025-10-15 19:59:00,R-1276,Initial Triage,28.5,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,7
REV_01620_2,CLM_01620,2,2025-10-28 07:59:00,R-1276,Expert Assessment,,,No anomalies found during review.,P-1371,Yes,2.7,64.1,Request Additional Documentation,19
REV_01622_1,CLM_01622,1,2025-08-17 12:11:00,R-1276,Initial Triage,32.5,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_01623_1,CLM_01623,1,2023-08-23 15:35:00,R-6387,Initial Triage,3.9,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01624_1,CLM_01624,1,2023-08-11 08:34:00,R-1307,Initial Triage,55.7,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,2
REV_01624_2,CLM_01624,2,2023-08-26 18:34:00,R-1307,Expert Assessment,,,All repair items match incident description.,P-1135,No,4.4,65.9,Refer to Special Investigations Unit,17
REV_01624_3,CLM_01624,3,2023-09-03 03:34:00,SIU-325,SIU Investigation,,,Full investigation completed. Findings documented in case file.,P-1135,No,,,Claim Denied,24
REV_01627_1,CLM_01627,1,2022-12-23 11:50:00,R-4219,Initial Triage,27.9,Yellow - Standard Review,"Routine processing, no flags raised.",,,,,Standard Review,4
REV_01627_2,CLM_01627,2,2023-01-18 04:50:00,R-4219,Expert Assessment,,,All repair items match incident description.,P-5325,No,3.6,72.7,Approve with Conditions,29
REV_01629_1,CLM_01629,1,2025-06-30 05:02:00,R-6466,Initial Triage,24.6,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,4
REV_01630_1,CLM_01630,1,2025-11-21 00:46:00,R-2887,Initial Triage,0.0,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,5
REV_01631_1,CLM_01631,1,2024-11-14 13:46:00,R-8100,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_01631_2,CLM_01631,2,2024-11-26 22:46:00,R-8100,Expert Assessment,,,Physical inspection consistent with reported damage.,P-1837,Yes,2.7,84.8,Approve,14
REV_01631_3,CLM_01631,3,2024-12-09 13:46:00,SIU-289,SIU Investigation,,,Independent engineering assessment obtained.,P-1837,Yes,,,Claim Approved,26
REV_01632_1,CLM_01632,1,2024-09-23 23:39:00,R-5059,Initial Triage,61.9,Orange - Escalated Review,"Routine processing, no flags raised.",,,,,Escalated Review,2
REV_01632_2,CLM_01632,2,2024-09-26 09:39:00,R-5059,Expert Assessment,,,Physical inspection consistent with reported damage.,P-5252,No,4.0,73.0,Refer to Special Investigations Unit,4
REV_01632_3,CLM_01632,3,2024-10-18 17:39:00,SIU-756,SIU Investigation,,,Medical records review completed where applicable.,P-5252,No,,,Claim Approved,26
REV_01633_1,CLM_01633,1,2022-01-22 19:20:00,R-6387,Initial Triage,18.1,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_01634_1,CLM_01634,1,2025-06-12 23:12:00,R-5059,Initial Triage,63.8,Red - Full Investigation,"Standard claim, within normal parameters.",,,,,Full Investigation,3
REV_01634_2,CLM_01634,2,2025-06-14 13:12:00,R-5059,Expert Assessment,,,Multiple prior claims from same address within 18 months.,P-1135,Yes,3.8,70.4,Approve with Conditions,4
REV_01635_1,CLM_01635,1,2025-04-03 04:08:00,R-1276,Initial Triage,10.3,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_01636_1,CLM_01636,1,2025-03-30 03:37:00,R-1307,Initial Triage,49.1,Yellow - Standard Review,"Routine processing, no flags raised.",,,,,Standard Review,1
REV_01636_2,CLM_01636,2,2025-04-13 18:37:00,R-1307,Expert Assessment,,,No anomalies found during review.,P-7666,No,4.5,67.9,Approve with Conditions,15
REV_01637_1,CLM_01637,1,2024-11-01 17:49:00,R-6545,Initial Triage,31.8,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,1
REV_01637_2,CLM_01637,2,2024-11-08 03:49:00,R-6545,Expert Assessment,,,Documentation supports claim as reported.,P-5733,No,4.0,64.3,Approve with Conditions,7
REV_01637_3,CLM_01637,3,2024-11-25 14:49:00,SIU-459,SIU Investigation,,,Independent engineering assessment obtained.,P-5733,Yes,,,Claim Settled at Reduced Amount,24
REV_01638_1,CLM_01638,1,2025-07-04 16:17:00,R-8100,Initial Triage,19.1,Yellow - Standard Review,Unable to reach witness listed in report.,,,,,Standard Review,1
REV_01638_2,CLM_01638,2,2025-07-19 04:17:00,R-8100,Expert Assessment,,,Verified damage with independent assessment.,P-8859,Yes,4.9,64.2,Approve,15
REV_01639_1,CLM_01639,1,2024-04-20 07:01:00,R-4718,Initial Triage,38.9,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,2
REV_01639_2,CLM_01639,2,2024-04-27 19:01:00,R-4718,Expert Assessment,,,Physical inspection consistent with reported damage.,P-8259,Yes,2.6,81.9,Request Additional Documentation,9
REV_01640_1,CLM_01640,1,2023-03-18 14:22:00,R-6143,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_01642_1,CLM_01642,1,2024-06-10 08:23:00,R-2207,Initial Triage,24.5,Green - Proceed,Claimant was vague about accident circumstances.,,,,,Proceed,1
REV_01643_1,CLM_01643,1,2024-12-09 00:38:00,R-5533,Initial Triage,26.7,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_01644_1,CLM_01644,1,2025-08-29 23:29:00,R-2887,Initial Triage,19.4,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_01645_1,CLM_01645,1,2022-04-27 17:08:00,R-8592,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_01646_1,CLM_01646,1,2023-10-30 21:07:00,R-4219,Initial Triage,13.2,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,3
REV_01647_1,CLM_01647,1,2023-09-05 14:12:00,R-2812,Initial Triage,33.6,Yellow - Standard Review,"Routine processing, no flags raised.",,,,,Standard Review,3
REV_01647_2,CLM_01647,2,2023-09-18 00:12:00,R-2812,Expert Assessment,,,Verified damage with independent assessment.,P-5325,No,3.5,80.0,Request Additional Documentation,15
REV_01648_1,CLM_01648,1,2024-10-30 09:09:00,R-2957,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,1
REV_01649_1,CLM_01649,1,2024-01-22 04:35:00,R-2512,Initial Triage,33.3,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,6
REV_01650_1,CLM_01650,1,2024-01-21 16:09:00,R-8404,Initial Triage,5.0,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,2
REV_01651_1,CLM_01651,1,2022-06-02 06:06:00,R-8889,Initial Triage,26.6,Green - Proceed,Unable to reach witness listed in report.,,,,,Proceed,4
REV_01651_2,CLM_01651,2,2022-06-26 16:06:00,R-8889,Expert Assessment,,,All repair items match incident description.,P-3597,Yes,3.3,89.3,Refer to Special Investigations Unit,28
REV_01651_3,CLM_01651,3,2022-07-07 01:06:00,SIU-703,SIU Investigation,,,"Interviewed claimant, witness, and repair shop independently.",P-3597,Yes,,,Claim Denied,38
REV_01653_1,CLM_01653,1,2026-01-16 06:59:00,R-1276,Initial Triage,20.8,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01653_2,CLM_01653,2,2026-02-07 18:59:00,R-1276,Expert Assessment,,,Documentation supports claim as reported.,P-1135,No,3.5,88.0,Approve,23
REV_01654_1,CLM_01654,1,2024-12-28 23:25:00,R-3888,Initial Triage,31.5,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,7
REV_01655_1,CLM_01655,1,2025-09-11 16:52:00,R-3691,Initial Triage,18.9,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,2
REV_01656_1,CLM_01656,1,2025-11-27 09:12:00,R-8765,Initial Triage,53.0,Orange - Escalated Review,"Documentation complete, no issues detected.",,,,,Escalated Review,1
REV_01656_2,CLM_01656,2,2025-11-30 23:12:00,R-8765,Expert Assessment,,,All repair items match incident description.,P-7114,Yes,3.3,69.1,Refer to Special Investigations Unit,4
REV_01656_3,CLM_01656,3,2025-12-18 07:12:00,SIU-690,SIU Investigation,,,Financial background check performed.,P-7114,Yes,,,Claim Settled at Reduced Amount,21
REV_01658_1,CLM_01658,1,2023-08-20 23:58:00,R-8044,Initial Triage,22.8,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01659_1,CLM_01659,1,2024-10-29 18:57:00,R-9758,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_01660_1,CLM_01660,1,2023-02-23 13:19:00,R-8100,Initial Triage,27.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_01661_1,CLM_01661,1,2023-04-16 15:54:00,R-8461,Initial Triage,63.5,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,2
REV_01661_2,CLM_01661,2,2023-04-22 02:54:00,R-8461,Expert Assessment,,,Verified damage with independent assessment.,P-8186,Yes,3.9,91.9,Approve,7
REV_01662_1,CLM_01662,1,2022-08-26 17:33:00,R-2512,Initial Triage,20.6,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01663_1,CLM_01663,1,2025-11-02 07:15:00,R-4219,Initial Triage,9.9,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,4
REV_01664_1,CLM_01664,1,2023-12-05 21:31:00,R-6545,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,7
REV_01665_1,CLM_01665,1,2024-01-25 14:16:00,R-8765,Initial Triage,16.7,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_01667_1,CLM_01667,1,2023-08-22 21:31:00,R-2812,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_01669_1,CLM_01669,1,2023-06-21 01:38:00,R-2207,Initial Triage,24.3,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,1
REV_01669_2,CLM_01669,2,2023-06-30 13:38:00,R-2207,Expert Assessment,,,Physical inspection consistent with reported damage.,P-3597,No,2.1,66.4,Approve,10
REV_01670_1,CLM_01670,1,2023-03-25 10:03:00,R-5059,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,7
REV_01671_1,CLM_01671,1,2025-09-23 02:44:00,R-2957,Initial Triage,51.1,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,4
REV_01671_2,CLM_01671,2,2025-09-25 10:44:00,R-2957,Expert Assessment,,,No anomalies found during review.,P-2553,No,1.0,63.2,Recommend Denial,6
REV_01671_3,CLM_01671,3,2025-10-06 19:44:00,SIU-506,SIU Investigation,,,Medical records review completed where applicable.,P-2553,Yes,,,Claim Approved,17
REV_01672_1,CLM_01672,1,2024-07-31 18:00:00,R-5059,Initial Triage,6.5,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,12
REV_01673_1,CLM_01673,1,2024-08-18 08:42:00,R-6143,Initial Triage,5.2,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_01674_1,CLM_01674,1,2023-05-07 09:16:00,R-8889,Initial Triage,24.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_01675_1,CLM_01675,1,2024-09-16 13:47:00,R-2887,Initial Triage,7.4,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,4
REV_01676_1,CLM_01676,1,2022-07-05 13:47:00,R-9461,Initial Triage,0.0,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,2
REV_01676_2,CLM_01676,2,2022-07-31 06:47:00,R-9461,Expert Assessment,,,Physical inspection consistent with reported damage.,P-5992,Yes,2.1,57.8,Request Additional Documentation,27
REV_01677_1,CLM_01677,1,2023-03-14 13:35:00,R-5059,Initial Triage,57.8,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,2
REV_01677_2,CLM_01677,2,2023-03-21 01:35:00,R-5059,Expert Assessment,,,Physical inspection consistent with reported damage.,P-3659,Yes,2.5,86.5,Refer to Special Investigations Unit,8
REV_01677_3,CLM_01677,3,2023-04-03 17:35:00,SIU-217,SIU Investigation,,,Independent engineering assessment obtained.,P-3659,Yes,,,Claim Approved,21
REV_01679_1,CLM_01679,1,2022-12-07 02:35:00,R-3260,Initial Triage,52.7,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,4
REV_01679_2,CLM_01679,2,2022-12-13 18:35:00,R-3260,Expert Assessment,,,Verified damage with independent assessment.,P-8464,Yes,3.2,100.0,Approve with Conditions,10
REV_01680_1,CLM_01680,1,2024-04-29 07:18:00,R-2812,Initial Triage,43.0,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,1
REV_01680_2,CLM_01680,2,2024-05-08 23:18:00,R-2812,Expert Assessment,,,Physical inspection consistent with reported damage.,P-2553,Yes,3.8,58.7,Refer to Special Investigations Unit,10
REV_01680_3,CLM_01680,3,2024-05-25 07:18:00,SIU-741,SIU Investigation,,,Independent engineering assessment obtained.,P-2553,Yes,,,Claim Approved,26
REV_01683_1,CLM_01683,1,2025-03-15 08:55:00,R-1744,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_01684_1,CLM_01684,1,2023-08-07 08:29:00,R-8889,Initial Triage,4.8,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,1
REV_01686_1,CLM_01686,1,2023-07-21 16:18:00,R-5533,Initial Triage,7.6,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01687_1,CLM_01687,1,2025-07-28 19:34:00,R-7001,Initial Triage,22.0,Green - Proceed,Repair estimate seems elevated for reported damage type.,,,,,Proceed,1
REV_01687_2,CLM_01687,2,2025-09-05 07:34:00,R-7001,Expert Assessment,,,Repair workshop has elevated average claim amounts in our records.,P-4505,Yes,1.2,72.0,Request Additional Documentation,39
REV_01689_1,CLM_01689,1,2024-12-10 20:43:00,R-6143,Initial Triage,60.3,Orange - Escalated Review,"Standard claim, within normal parameters.",,,,,Escalated Review,1
REV_01689_2,CLM_01689,2,2024-12-16 05:43:00,R-6143,Expert Assessment,,,No anomalies found during review.,P-9236,No,1.9,71.9,Request Additional Documentation,6
REV_01690_1,CLM_01690,1,2022-04-10 18:18:00,R-2812,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_01691_1,CLM_01691,1,2024-06-22 16:59:00,R-2812,Initial Triage,37.0,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_01691_2,CLM_01691,2,2024-06-28 01:59:00,R-2812,Expert Assessment,,,All repair items match incident description.,P-2350,No,2.8,44.2,Approve with Conditions,6
REV_01691_3,CLM_01691,3,2024-07-03 10:59:00,SIU-196,SIU Investigation,,,Independent engineering assessment obtained.,P-2350,Yes,,,Claim Approved,11
REV_01693_1,CLM_01693,1,2023-05-01 11:34:00,R-3644,Initial Triage,29.4,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_01693_2,CLM_01693,2,2023-05-13 22:34:00,R-3644,Expert Assessment,,,All repair items match incident description.,P-4626,No,3.6,100.0,Approve,13
REV_01694_1,CLM_01694,1,2025-09-11 11:13:00,R-5059,Initial Triage,44.4,Yellow - Standard Review,"Standard claim, within normal parameters.",,,,,Standard Review,3
REV_01694_2,CLM_01694,2,2025-09-20 20:13:00,R-5059,Expert Assessment,,,Documentation supports claim as reported.,P-9909,Yes,4.4,79.8,Approve with Conditions,12
REV_01696_1,CLM_01696,1,2022-11-16 05:41:00,R-6221,Initial Triage,6.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_01696_2,CLM_01696,2,2022-12-04 21:41:00,R-6221,Expert Assessment,,,All repair items match incident description.,P-5239,No,4.0,85.6,Approve,20
REV_01697_1,CLM_01697,1,2023-12-11 08:20:00,R-6221,Initial Triage,57.2,Orange - Escalated Review,"Documentation complete, no issues detected.",,,,,Escalated Review,1
REV_01697_2,CLM_01697,2,2023-12-15 20:20:00,R-6221,Expert Assessment,,,Documentation supports claim as reported.,P-9976,Yes,3.0,83.7,Request Additional Documentation,5
REV_01698_1,CLM_01698,1,2024-09-21 09:19:00,R-8889,Initial Triage,52.5,Orange - Escalated Review,"Standard claim, within normal parameters.",,,,,Escalated Review,6
REV_01698_2,CLM_01698,2,2024-09-27 22:19:00,R-8889,Expert Assessment,,,No anomalies found during review.,P-9236,Yes,4.0,81.8,Recommend Denial,12
REV_01698_3,CLM_01698,3,2024-10-11 12:19:00,SIU-634,SIU Investigation,,,Medical records review completed where applicable.,P-9236,Yes,,,Claim Denied,25
REV_01699_1,CLM_01699,1,2023-05-22 16:43:00,R-8019,Initial Triage,50.5,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,2
REV_01699_2,CLM_01699,2,2023-05-28 00:43:00,R-8019,Expert Assessment,,,No anomalies found during review.,P-9976,No,2.1,76.8,Recommend Denial,7
REV_01699_3,CLM_01699,3,2023-06-07 13:43:00,SIU-740,SIU Investigation,,,Financial background check performed.,P-9976,No,,,Claim Approved,17
REV_01700_1,CLM_01700,1,2023-10-31 08:40:00,R-5533,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_01701_1,CLM_01701,1,2023-04-24 17:55:00,R-6221,Initial Triage,50.3,Orange - Escalated Review,"Documentation complete, no issues detected.",,,,,Escalated Review,2
REV_01701_2,CLM_01701,2,2023-04-28 05:55:00,R-6221,Expert Assessment,,,Verified damage with independent assessment.,P-7666,No,3.7,81.7,Refer to Special Investigations Unit,5
REV_01701_3,CLM_01701,3,2023-05-04 17:55:00,SIU-357,SIU Investigation,,,Cross-referenced with external fraud database.,P-7666,Yes,,,Claim Denied,11
REV_01702_1,CLM_01702,1,2022-07-21 10:21:00,R-2812,Initial Triage,9.2,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,1
REV_01703_1,CLM_01703,1,2025-08-28 06:24:00,R-6545,Initial Triage,5.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,3
REV_01707_1,CLM_01707,1,2024-03-18 02:06:00,R-6466,Initial Triage,4.6,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_01708_1,CLM_01708,1,2024-01-09 10:10:00,R-9908,Initial Triage,15.1,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,1
REV_01710_1,CLM_01710,1,2024-10-20 08:09:00,R-8461,Initial Triage,66.7,Red - Full Investigation,"Routine processing, no flags raised.",,,,,Full Investigation,3
REV_01710_2,CLM_01710,2,2024-10-28 18:09:00,R-8461,Expert Assessment,,,Physical inspection consistent with reported damage.,P-1837,No,3.3,91.5,Recommend Denial,11
REV_01710_3,CLM_01710,3,2024-11-10 06:09:00,SIU-234,SIU Investigation,,,Independent engineering assessment obtained.,P-1837,No,,,Claim Approved,23
REV_01711_1,CLM_01711,1,2023-08-31 22:02:00,R-8461,Initial Triage,40.1,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,1
REV_01711_2,CLM_01711,2,2023-09-07 07:02:00,R-8461,Expert Assessment,,,Verified damage with independent assessment.,P-1135,No,4.2,81.4,Request Additional Documentation,7
REV_01712_1,CLM_01712,1,2025-12-31 09:16:00,R-3260,Initial Triage,49.2,Orange - Escalated Review,"Routine processing, no flags raised.",,,,,Escalated Review,8
REV_01712_2,CLM_01712,2,2026-01-09 23:16:00,R-3260,Expert Assessment,,,Documentation supports claim as reported.,P-9557,No,3.7,61.3,Approve with Conditions,17
REV_01713_1,CLM_01713,1,2023-06-17 11:45:00,R-8404,Initial Triage,3.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_01714_1,CLM_01714,1,2024-08-18 00:51:00,R-5059,Initial Triage,6.3,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_01715_1,CLM_01715,1,2024-07-04 05:46:00,R-1307,Initial Triage,5.6,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_01716_1,CLM_01716,1,2024-01-15 19:24:00,R-1307,Initial Triage,49.6,Yellow - Standard Review,Workshop quote significantly above reference range.,,,,,Standard Review,1
REV_01716_2,CLM_01716,2,2024-01-25 10:24:00,R-1307,Expert Assessment,,,"Pre-existing damage observed, not clearly separable from claim.",P-8545,No,2.7,100.0,Approve with Conditions,10
REV_01717_1,CLM_01717,1,2022-10-05 11:46:00,R-1744,Initial Triage,44.1,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,2
REV_01717_2,CLM_01717,2,2022-10-21 00:46:00,R-1744,Expert Assessment,,,Physical inspection consistent with reported damage.,P-9976,No,4.7,73.2,Approve with Conditions,17
REV_01718_1,CLM_01718,1,2022-10-05 21:55:00,R-2887,Initial Triage,9.9,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,2
REV_01720_1,CLM_01720,1,2024-01-23 18:26:00,R-6466,Initial Triage,36.0,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,3
REV_01720_2,CLM_01720,2,2024-02-06 05:26:00,R-6466,Expert Assessment,,,No anomalies found during review.,P-4505,No,5.0,77.7,Approve with Conditions,16
REV_01721_1,CLM_01721,1,2025-05-21 00:26:00,R-6545,Initial Triage,39.8,Yellow - Standard Review,Workshop quote significantly above reference range.,,,,,Standard Review,3
REV_01721_2,CLM_01721,2,2025-06-01 17:26:00,R-6545,Expert Assessment,,,Repair workshop has elevated average claim amounts in our records.,P-8856,No,3.3,57.0,Approve with Conditions,14
REV_01722_1,CLM_01722,1,2023-07-24 00:37:00,R-5533,Initial Triage,20.6,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_01724_1,CLM_01724,1,2024-09-20 15:21:00,R-1276,Initial Triage,12.9,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,2
REV_01726_1,CLM_01726,1,2023-10-13 06:44:00,R-8889,Initial Triage,30.9,Green - Proceed,Workshop quote significantly above reference range.,,,,,Proceed,1
REV_01727_1,CLM_01727,1,2024-08-11 18:45:00,R-8765,Initial Triage,26.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_01728_1,CLM_01728,1,2023-08-28 14:33:00,R-3691,Initial Triage,44.6,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_01728_2,CLM_01728,2,2023-09-28 23:33:00,R-3691,Expert Assessment,,,Documentation supports claim as reported.,P-7114,No,3.4,86.8,Request Additional Documentation,32
REV_01729_1,CLM_01729,1,2023-08-02 19:45:00,R-7230,Initial Triage,37.9,Yellow - Standard Review,"Standard claim, within normal parameters.",,,,,Standard Review,2
REV_01729_2,CLM_01729,2,2023-08-08 06:45:00,R-7230,Expert Assessment,,,Verified damage with independent assessment.,P-5733,No,5.0,93.1,Approve,7
REV_01731_1,CLM_01731,1,2024-06-25 07:50:00,R-6221,Initial Triage,1.7,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,3
REV_01732_1,CLM_01732,1,2025-05-30 02:05:00,R-6387,Initial Triage,44.7,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,2
REV_01732_2,CLM_01732,2,2025-06-11 10:05:00,R-6387,Expert Assessment,,,Documentation supports claim as reported.,P-8856,No,3.9,73.1,Approve,14
REV_01733_1,CLM_01733,1,2023-04-05 05:10:00,R-8100,Initial Triage,0.0,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01734_1,CLM_01734,1,2024-10-16 05:55:00,R-8100,Initial Triage,22.0,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,2
REV_01735_1,CLM_01735,1,2022-12-21 00:30:00,R-2512,Initial Triage,58.2,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,1
REV_01735_2,CLM_01735,2,2022-12-26 15:30:00,R-2512,Expert Assessment,,,Documentation supports claim as reported.,P-8186,No,3.6,73.8,Request Additional Documentation,6
REV_01738_1,CLM_01738,1,2023-12-22 19:38:00,R-7520,Initial Triage,42.0,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,4
REV_01738_2,CLM_01738,2,2024-01-08 03:38:00,R-7520,Expert Assessment,,,All repair items match incident description.,P-5462,No,3.4,92.0,Approve with Conditions,20
REV_01739_1,CLM_01739,1,2024-10-22 03:40:00,R-9461,Initial Triage,8.5,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_01742_1,CLM_01742,1,2025-07-08 08:12:00,R-3644,Initial Triage,5.4,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_01743_1,CLM_01743,1,2022-07-08 19:05:00,R-7230,Initial Triage,53.9,Orange - Escalated Review,"Standard claim, within normal parameters.",,,,,Escalated Review,1
REV_01743_2,CLM_01743,2,2022-07-12 04:05:00,R-7230,Expert Assessment,,,Documentation supports claim as reported.,P-7266,Yes,3.9,69.7,Approve with Conditions,4
REV_01744_1,CLM_01744,1,2022-06-28 20:53:00,R-9758,Initial Triage,46.9,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,5
REV_01744_2,CLM_01744,2,2022-07-01 07:53:00,R-9758,Expert Assessment,,,No anomalies found during review.,P-4626,Yes,3.9,83.5,Approve,7
REV_01744_3,CLM_01744,3,2022-07-09 20:53:00,SIU-935,SIU Investigation,,,Financial background check performed.,P-4626,Yes,,,Claim Approved,15
REV_01745_1,CLM_01745,1,2022-02-03 20:32:00,R-5533,Initial Triage,16.0,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,2
